Filepath,Match Status,Folder Name,Sample Name,Sample Number,Lane Number,Read
SLV50_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV93_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV66_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV76_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV43_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV27_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV35_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV53_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV36_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV28_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV61_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV85_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV19_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV92_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV48_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV55_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV65_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV75_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV24_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV63_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV79_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV17_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV03_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV68_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV96_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV84_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV47_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV16_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV46_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV01_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV87_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV11_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV55_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV25_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV13_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV94_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV22_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV90_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV33_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV26_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV23_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV92_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV58_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV81_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV37_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV38_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV74_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV62_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV15_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV07_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV91_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV31_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV42_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV50_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV70_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV47_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV65_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV09_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV60_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV17_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV54_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV73_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV36_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV30_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV74_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV40_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV02_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV14_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV26_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV76_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV05_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV24_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV75_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV71_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV93_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV37_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV88_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV80_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV57_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV51_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV58_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV23_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV95_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV79_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV13_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV34_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV28_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV45_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV16_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV88_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV72_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV95_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV49_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV12_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV41_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV08_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV77_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV33_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV89_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV71_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV69_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV05_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV56_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV56_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV07_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV77_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV41_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV04_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV15_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV64_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV12_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV18_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV69_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV67_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV22_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV06_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV04_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV52_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV94_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV20_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV27_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV63_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV44_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV44_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV64_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV19_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV32_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV48_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV11_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV06_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV25_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV52_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV45_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV91_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV39_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV21_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV61_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV81_1_val_1,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
SLV87_2_val_2,Duplicate,2021-07-30_bis_amplicon_saliva96,,,,
10youngEoE_S2_L004_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L004,R1
10youngEoE_S2_L003_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L003,R2
10youngEoE_S2_L004_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L004,R2
10youngEoE_S2_L001_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L001,R1
10youngEoE_S2_L002_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L002,R2
10youngEoE_S2_L003_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L003,R1
10youngEoE_S2_L002_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L002,R1
10youngEoE_S2_L001_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,10youngEoE,S2,L001,R2
12oldEoE_S4_L004_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L004,R1
12oldEoE_S4_L003_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L003,R1
12oldEoE_S4_L002_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L002,R2
12oldEoE_S4_L001_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L001,R1
12oldEoE_S4_L001_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L001,R2
12oldEoE_S4_L002_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L002,R1
12oldEoE_S4_L004_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L004,R2
12oldEoE_S4_L003_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,12oldEoE,S4,L003,R2
11oldEoE_S3_L003_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L003,R2
11oldEoE_S3_L004_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L004,R2
11oldEoE_S3_L002_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L002,R2
11oldEoE_S3_L001_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L001,R1
11oldEoE_S3_L001_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L001,R2
11oldEoE_S3_L002_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L002,R1
11oldEoE_S3_L004_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L004,R1
11oldEoE_S3_L003_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,11oldEoE,S3,L003,R1
9youngEoE_S1_L001_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L001,R2
9youngEoE_S1_L003_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L003,R1
9youngEoE_S1_L001_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L001,R1
9youngEoE_S1_L003_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L003,R2
9youngEoE_S1_L004_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L004,R1
9youngEoE_S1_L002_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L002,R2
9youngEoE_S1_L002_R1_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L002,R1
9youngEoE_S1_L004_R2_001,Matched,2020-01-16_sc_whelan_mouse_esophagus_k4,9youngEoE,S1,L004,R2
C2_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
C2_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC1_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC1_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC3_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC3_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC2_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MC2_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
C1_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
C1_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MA2_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MA2_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MA1_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
